name,Full_Name,Latitude,Longitude,Region,Description,Icon
FORT,Fort Point (Greenwich Island),-62.543100,-59.575200,South Shetland Islands,,166
FOUL,Foul Point,-60.533333,-45.483333,,,166
FOYN,Foyn Harbor (Enterprise Island),-64.553883,-62.004729,,,166
FRAE,Franklin Island East,-76.158100,168.410100,Victoria Land,,166
FRAM,Fram Islands,-66.627400,139.727900,Wilkes Land,,166
FRAN,Franklin Island,-76.180000,168.430000,Victoria Land,,166
FRAS,Fraser Point,-60.671697,-44.519977,,,166
FRAW,Franklin Island West,-76.161800,168.338300,Victoria Land,,166
FRED,Fredriksen Island,-60.732600,-44.990100,South Orkney Islands,,166
FRNC,Francais Rocks,-63.027691,-56.008571,Northeast Antarctic Peninsula,,166
FRPT,False Round Point,-61.898300,-57.989300,South Shetland Islands,,166
FRTN,Fortuna Bay,-54.150000,-36.800000,,,166
FURS,Fur Seal Point,-61.218000,-54.043000,Elephant Island,,166
FYRC,Fyr Channel,-60.729000,-45.673000,South Orkney Islands,,166
GALE,Galindez Island East,-65.247600,-64.239900,Central-west Antarctic Peninsula,,166
GALS,Galindez Island South,-65.252000,-64.246000,Central-west Antarctic Peninsula,,166
GAMM,Gamma Island,-64.330110,-62.993323,,,166
GAMP,Gam Point Area,-61.922700,-57.954600,South Shetland Islands,,166
GARY,Cape Garry,-63.363300,-62.256600,South Shetland Islands,,166
GAST,Gaston Islands,-64.484800,-61.827000,Central-west Antarctic Peninsula,,166
GEDD,Cape Geddes,-60.691200,-44.596400,South Orkney Islands,,166
GEOR,Georges Point (Ronge Island),-64.669400,-62.669600,Central-west Antarctic Peninsula,,166
GEPT,Gerlache Point,-64.601000,-64.214000,Central-west Antarctic Peninsula,,166
GERD,Gerd Island,-60.657400,-45.743700,South Orkney Islands,,166
GERL,Gerlache Island,-64.601000,-64.214000,Central-west Antarctic Peninsula,,166
GIBA,Gibbon Bay,-60.650000,-45.183300,South Orkney Islands,,166
GIBB,Gibbs Island,-61.471000,-55.638500,Elephant Island,,166
GIBS,Gibson Bay,-63.305700,-55.881500,Northeast Antarctic Peninsula,,166
GING,Ginger Island,-67.749400,-68.685800,Southwest Antarctic Peninsula,,166
GINL,Greene Inlet,-54.050000,-38.016667,,,166
GLAN,Glandaz Point,-65.091100,-63.959100,Central-west Antarctic Peninsula,,166
GNEY,Gibbney Island,-67.554300,62.320500,Mac. Robertson Land,,166
GODT,Godthul Harbor,-54.299784,-36.287152,,,166
GOLD,Gold Harbor,-54.620854,-35.949675,,,166
GOLF,Golfcourse Point,-61.128000,-55.473000,Elephant Island,,166
GOPT,Gourlay Point,-60.730900,-45.586300,South Orkney Islands,,166
GOSL,Gosling Island,-60.640600,-45.917800,South Orkney Islands,,166
GOUL,Gould,-77.710000,-47.680000,NA,,166
GOUR,Gourdin Island,-63.196900,-57.307400,Northwest Antarctic Peninsula,,166
GOUV,Gouvernoren Harbor,-64.541348,-61.992222,,,166
GOWC,Gosling Island (west coast),-60.640000,-45.908000,South Orkney Islands,,166
GRAP,Graptolite Island,-60.715900,-44.462100,South Orkney Islands,,166
GREE,The Green Glen,-61.271000,-55.266000,Elephant Island,,166
GREI,Green Island,-65.323600,-64.148700,Central-west Antarctic Peninsula,,166
GREY,Grey Island,-60.748700,-45.014900,South Orkney Islands,,166
GRIB,Georges Rib,-61.157000,-54.973000,Elephant Island,,166
GRIN,Grinder Rock,-63.966000,-61.425600,Central-west Antarctic Peninsula,,166
GRYT,Grytviken,-54.281500,-36.508000,,,166
GUID,The guides mainland,-54.085995,-36.851193,,,166
GUNN,Gunnerus,-68.750000,34.380000,Queen Maud Land,,166
HAAK,King Haakon Bay,-54.174320,-37.324000,,,166
HALF,Half Moon Island,-62.590100,-59.920300,South Shetland Islands,,166
HALL,Halley Bay,-67.487000,-68.392000,,,166
HALY,Halley,-75.540000,-27.430000,Coats Land,,166
HANN,Hannah Point,-62.654500,-60.613400,South Shetland Islands,,166
HANS,Cape Hansen- Coronation Island,-60.659000,-45.584000,South Orkney Islands,,166
HARE,Harmony Point (east),-62.304000,-59.229000,South Shetland Islands,,166
HARM,Harmony Point,-62.306400,-59.242500,South Shetland Islands,,166
HASW,Haswell Island,-66.520000,93.010000,Queen Mary Land,,166
HBAY,Harald Bay,-69.197700,157.689400,Victoria Land,,166
HENN,Hennequin Point,-62.124000,-58.396000,South Shetland Islands,,166
HENR,Henry Islands,-66.878100,120.620600,Wilkes Land,,166
HERC,Hercules Bay,-54.116667,-36.666667,,,166
HERM,Hermit Island,-64.800502,-64.022500,,,166
HERO,Heroina Island,-63.394400,-54.608300,Northeast Antarctic Peninsula,,166
HEYN,North of Heywood Island,-62.312,-59.66,South Shetland Islands,,166
HEYW,Heywood Island,-62.317400,-59.685400,South Shetland Islands,,166
HIDD,Hidden Bay,-65.050000,-63.783000,,,166
HILL,Camp Hill,-63.675889,-57.847732,,,166
HINO,Cape Hinode,-68.145300,42.661200,Queen Maud Land,,166
HOKU,Hokuro Cove,-69.197300,39.614400,Queen Maud Land,,166
HOLB,Holluschickie Bay,-63.983000,-58.250000,,,166
HOLD,Holdfast Point (mainland and offshore rocks),-66.791700,-66.586700,Southwest Antarctic Peninsula,"According to FMP now combined HOL1 and HOL2, which are actually 2.3 km away from each other (HOL2 is on the N side of Holdfast Point, while HOL1 is a small rock just off the point to the south of Holdfast Point).  The location for HOL1 from the Casanovas shapefile is: -66.809768, -66.563183. Mist Rocks (also supposedly included here on MAPPPD?) are 1.5 km W of Holdfast Point.",166
HOLD_MIST,Mist Rocks,-66.800000,-66.616667,,,166
HOLD_NRTH,Holdfast Point_North,-66.791700,-66.586700,,Used to be HOL2,166
HOLD_SOUT,Holdfast Point_South,-66.809768,-66.563183,,Used to be HOL1,166
HOLL,Holl/O'Connor,-66.411800,110.431500,Wilkes Land,,166
HOLM,Holmstrand,-54.240302,-37.258052,,,166
HOMB,Hombron Rocks,-63.466000,-58.700000,,,166
HOOK,Cape Hooker,-63.334700,-61.957200,South Shetland Islands,,166
HOPE,Hope Bay,-63.397200,-56.997800,Northeast Antarctic Peninsula,,166
HOPV,Hope Valley,-54.027640,-37.934973,,,166
HORI,Horseshoe Island,-67.835664,-67.188631,,,166
HORS,Cape Hooker Rock (South),-63.315000,-61.973000,South Shetland Islands,,166
HORT,Horten,-54.277044,-37.114357,,,166
HOUN,Hound Bay 1,-54.393219,-36.264960,,,166
HOVG,Hovgaard Island,-65.129600,-64.093900,Central-west Antarctic Peninsula,,166
HPNE,Hall Peninsula (northeast),-62.769000,-61.241000,South Shetland Islands,,166
HPSW,Hall Peninsula (southwest),-62.775000,-61.244000,South Shetland Islands,,166
HUMB,Humble Island,-64.764700,-64.087500,Central-west Antarctic Peninsula,,166
HUMM,Two Hummock Island,-64.136200,-61.703300,Central-west Antarctic Peninsula,,166
HUMP,Humphries Heights,-65.055700,-63.863700,Central-west Antarctic Peninsula,,166
HUNT,Hunt Island,-64.333000,-62.117000,Central-west Antarctic Peninsula,US name is Pampa Island,166
HUPT,Humble Point,-61.186231,-54.128834,,,166
HURE,Hurd Peninsula (east),-62.695000,-60.379000,South Shetland Islands,,166
HURW,Hurd Peninsula (west),-62.674000,-60.406000,South Shetland Islands,,166
HUSV,Husvik Harbour,-54.175551,-36.708495,,,166
HUTB,Hut Bluff,-61.219000,-55.140000,Elephant Island,,166
HYDR,Hydrurga Rocks,-64.145400,-61.625900,Central-west Antarctic Peninsula,,166
IFOI,Ifo Island Area,-66.633333,139.733333,Wilkes Land,,166
INAC,Inaccessible Island,-60.566700,-46.733300,South Orkney Islands,,166
INEX,Inexpressible Island,-74.900900,163.728700,Victoria Land,,166
INTE,Intercurrence Island,-63.933000,-61.416000,Central-west Antarctic Peninsula,,166
IOLB,Isles of Litwin Bay,-61.991000,-58.557000,South Shetland Islands,,166
IRIS,Iris Bay,-54.698000,-35.972000,,,166
IVAN,Ivanhoff Head,-66.880300,109.127600,Wilkes Land,,166
JACO,Jacobs Ladder,-61.152000,-54.737000,Elephant Island,,166
JACP,Jacques Peak,-64.515200,-61.834200,Central-west Antarctic Peninsula,,166
JACQ,Cape Legoupil/Mt Jacquinot,-63.314545,-57.884927,,,166
JADE,Jade Point,-63.602800,-57.593500,Northeast Antarctic Peninsula,,166
JAME,Cape James,-63.090300,-62.697900,South Shetland Islands,,166
JANE,Janet Rock,-66.569800,139.165100,Wilkes Land,,166
JAQU,Jaquinot Rocks,-63.441000,-58.421000,Northwest Antarctic Peninsula,,166
JASO,Jason Harbour,-54.189453,-36.582605,,,166
JENN,Jenny Island,-67.733000,-68.383000,,,166
JESS,Jessie Bay,-60.719000,-44.694000,South Orkney Islands,,166
JING,Jingle Island,-65.430300,-65.325300,Southwest Antarctic Peninsula,Includes small islands southwest of Jingle up to but not including Weller Island,166
JOHA,Johan Harbour,-54.050000,-37.983333,,,166
JOHN,Johnson's Dock,-62.660400,-60.367500,South Shetland Islands,,166
JOKE,Joke Cove,-54.250000,-36.750000,,,166
JONA,Jonassen Island,-63.542500,-56.683400,Northeast Antarctic Peninsula,,166
JONE,Cape Jones,-73.276200,169.227200,Victoria Land,,166
JORG,Jorge Island,-62.379800,-59.760700,South Shetland Islands,,166
JOUB,Joubin Islands,-64.774400,-64.399200,Central-west Antarctic Peninsula,,166
JOUG,Jougla Point,-64.827000,-63.493200,Central-west Antarctic Peninsula,Also includes the higher ridge to the S that ends in Lécuyer Point,166
JPTI,Jameson Point Islands,-63.294400,-62.262200,South Shetland Islands,,166
JPTS,Jameson Point (South),-63.307900,-62.252400,South Shetland Islands,,166
JPTV,Jameson Point (Vicinity),-63.296000,-62.258300,South Shetland Islands,,166
JUAN,Juan Carlos I station,-62.650000,-60.383000,South Shetland Islands,,166
JULE,Cape Jules,-66.743800,140.918900,Wilkes Land,,166
KATE,Cape Kater,-63.774200,-59.847100,Northwest Antarctic Peninsula,,166
KAYR,Kay Rock,-64.126000,-60.935000,Central-west Antarctic Peninsula,,166
KELL,Kellick Island,-61.918600,-58.392800,South Shetland Islands,,166
KETL,Ketley Point,-64.706600,-62.763100,Central-west Antarctic Peninsula,,166
KIDS,Kidson Island,-67.214400,61.187000,Mac. Robertson Land,,166
KING,King Point,-63.160000,-55.481000,Northeast Antarctic Peninsula,,166
KIRB,Kirby Head ,-67.272600,46.537200,Enderby Land,,166
KIRT,Kirton/Macklin,-67.490700,63.637800,Mac. Robertson Land,,166
KITC,Kitchen Point,-62.387000,-59.347000,South Shetland Islands,,166
KJEL,Cape Kjellman,-63.724900,-59.414500,Northwest Antarctic Peninsula,,166
KLOA,Kloa Point,-66.640000,57.280000,Kemp Land,,166
KNOB,"Knobble Head, Bransfield Island",-63.161900,-56.569400,Northeast Antarctic Peninsula,,166
KOPA,Kopaitic Island,-63.315000,-57.910000,,,166
KROG,Krogh Island (Islet North of NE coast of K.I.),-66.250738,-66.960104,,,166
KUJI,Kujira Point,-69.600000,38.266700,Queen Maud Land,,166
KUNO,Kuno Point,-66.397800,-67.160300,Southwest Antarctic Peninsula,,166
LAAG,Laager Point,-62.641000,-61.146000,South Shetland Islands,,166
LACH,Cape Lachman (James Ross Island),-63.779574,-57.780889,,,166
LAGO,Lagotellerie Island,-67.886900,-67.401700,Southwest Antarctic Peninsula,,166
LAIN,Lainez Point,-67.695556,-67.780000,,,166
LAIR,Lair Point,-62.615000,-61.035300,South Shetland Islands,,166
LAJA,Lajarte Island,-64.235700,-63.475200,Central-west Antarctic Peninsula,,166
LAKT,Islet next to Laktionov Island,-65.758531,-65.789737,Southwest Antarctic Peninsula,,166
LARS,Larsen Island,-60.595500,-46.077700,South Orkney Islands,,166
LAUF,Lauff Island,-73.232500,-126.774900,Marie Byrd Land,,166
LAUR,Cape Laure,-64.766700,-63.349200,,Previously called BAYP = Bay Point Peninsula,166
LAUT,Lautaro Neck,-64.828500,-63.102700,Central-west Antarctic Peninsula,,166
LAVO,Islet 1 km west of Lavosier Island,-66.122000,-66.829000,Southwest Antarctic Peninsula,,166
LAZA,Lazarev,-69.750000,15.550000,Queen Maud Land,,166
LECO,Lecointe Island,-64.266000,-62.050000,,,166
LED2,Ledda Bay 2,-74.430000,-130.941000,Marie Byrd Land,,166
LEDD,Ledda Bay,-74.228000,-130.784000,Marie Byrd Land,,166
LEGO,Cape Leguillou,-63.542700,-59.843000,Northwest Antarctic Peninsula,,166
LEIT,Leith Harbour,-54.141000,-36.688000,,,166
LEON,Leonie Island,-67.600000,-68.350000,,,166
LEOP,Sea Leopard Fjord,-54.094730,-37.245712,,,166
LEPP,Islets south of Le Petit Prince,-61.911000,-58.021000,South Shetland Islands,,166
LEWI,Lewis Island,-66.105100,134.384900,Wilkes Land,,166
LGOO,Lagoon Island,-67.593809,-68.239028,,,166
LIND,Lindblad Cove,-63.875469,-59.440149,,,166
LION,Lions Rump,-62.133100,-58.122900,South Shetland Islands,,166
LITC,Litchfield Island,-64.770800,-64.091900,Central-west Antarctic Peninsula,,166
LITW,Litwin Bay (southwest of Davey Point),-61.991000,-58.557000,South Shetland Islands,,166
LLAN,Llano Point,-62.176000,-58.446000,South Shetland Islands,,166
LLOY,Cape Lloyd,-61.129800,-54.010300,Elephant Island,,166
LOBO,Lobodon Island,-64.086000,-61.600900,Central-west Antarctic Peninsula,,166
LOCK,Port Lockroy,-64.823100,-63.484000,Central-west Antarctic Peninsula,,166
LOOK,Cape Lookout,-61.280000,-55.206000,Elephant Island,,166
LOUB,Loubat Point,-65.077600,-63.926500,Central-west Antarctic Peninsula,,166
LOVI,Lovill Bluff ,-73.538000,-127.436100,Marie Byrd Land,,166
LOWR,Low Rock Point,-54.019267,-37.846671,,,166
LOWT,Low Tongue,-67.545600,61.990600,Mac. Robertson Land,,166
LSAY,Lindsay Islands,-73.609400,-103.182900,Marie Byrd Land,,166
LUIT,Luitpold,-77.770000,-33.600000,Coats Land,,166
LYNC,Lynch Island,-60.650000,-45.600000,,,166
MABE,Mabel Island,-60.667000,-44.700000,South Orkney Islands,,166
MACD,Macdonald Cove Bay West,-54.025148,-37.499066,,,166
MACK,MacKellar Islands,-66.967000,142.650000,Victoria Land,,166
MACO,Mackintosh Cove (east coast),-60.685100,-44.491200,South Orkney Islands,,166
MADD,Madder Cliffs (Joinville Island),-63.298900,-56.483100,Northeast Antarctic Peninsula,,166
MADI,Madder Cliff Island,-63.306000,-56.499000,Northeast Antarctic Peninsula,,166
MAHE,Maher Island,-73.198300,-127.050300,Marie Byrd Land,,166
MAIV,Maiviken,-54.233333,-36.500000,,,166
MALL,Mallory Point,-66.830000,108.643300,Wilkes Land,,166
MAME,Mame-zima,-69.016700,39.483300,Queen Maud Land,,166
MAND,Mandible Cirque,-73.117000,169.250000,Queen Maud Land,,166
MANS,Mansfield Point,-60.650000,-45.733300,South Orkney Islands,,166
MARA,Marambio Station Vicinity,-64.240556,-56.627222,,,166
MARI,Mariholm,-60.746000,-45.693000,South Orkney Islands,,166
MARR,Marr Bay (east coast),-60.678000,-44.527000,South Orkney Islands,,166
MART,Point Martin,-60.770900,-44.718500,South Orkney Islands,Not to be confused with Port Martin,166
MATH,Matthews Island,-60.722800,-45.180900,South Orkney Islands,,166
MAUD,Queen Maud Bay,-54.250000,-36.750000,,,166
MAWS,Mawson Coast,-67.556300,62.940600,Mac. Robertson Land,,166
MBIS,Mount Biscoe,-66.220900,51.327500,Enderby Land,,166
MBNE,Miers Bluff Cove (northeast),-62.716000,-60.431000,South Shetland Islands,,166
MBNW,Miers Bluff (northwest),-62.716000,-60.431000,South Shetland Islands,,166
MCAL,McCall Point,-67.030000,-66.616667,,,166
MCDO,McDonald Point,-67.342700,59.665400,Mac. Robertson Land,,166
MEDL,Medley Rocks,-62.996093,-56.036455,Northeast Antarctic Peninsula,,166
MEGA,Megaptera Island,-63.678000,-60.806000,Central-west Antarctic Peninsula,,166
MEHO,Meholmen Island,-69.025400,39.478800,Queen Maud Land,,166
MEIE,Meier Point,-60.636500,-45.893500,South Orkney Islands,,166
MELC,Melchior Islands,-64.312105,-62.962974,,,166
MELV,Melville Peninsula,-62.023000,-57.596000,,,166
MERR,Merritt Island,-66.458800,107.156500,Wilkes Land,,166
MERT,Mertz Glacier,-66.892000,146.620000,George V Land,,166
METC,Metchnikoff Point,-64.041000,-62.574700,Central-west Antarctic Peninsula,,166
METH,Methuen Cove,-60.753000,-44.577000,South Orkney Islands,,166
MGLE,Mount Gleadell,-66.941000,50.440000,Enderby Land,,166
MICH,Michelsen Island,-60.732400,-45.023300,South Orkney Islands,,166
MIDA,Midas Island,-64.168500,-61.100800,Central-west Antarctic Peninsula,,166
MIDG,Hollin/Midgley,-66.325900,110.403600,Wilkes Land,,166
MIER,Miers Bluff,-62.716700,-60.428200,South Shetland Islands,,166
MIKK,Mikkelsen Harbor (Trinity Island),-63.896400,-60.776200,Central-west Antarctic Peninsula,"Technically just D'Hainaut Island, in the center of the bay. Not to be confused with TETR and SKOT.",166
MILE,Miles Bay,-54.073911,-37.641539,,,166
MILO,Milosz Point,-61.915000,-57.762000,,,166
MITC,Mitchell Cove (Robert Island),-62.400000,-59.666667,,,166
MIZU,Mizukuguri Cove,-69.191700,39.633300,Queen Maud Land,,166
MLGE,McLeod Glacier (east),-60.721000,-45.625000,South Orkney Islands,,166
MLGW,McLeod Glacier (west),-60.700000,-45.600000,South Orkney Islands,,166
MOEI,Moe Island,-60.733000,-45.683000,South Orkney Islands,,166
MOLI,Molina Point (northeast tip of Lemaire Island),-64.807500,-62.853889,,,166
MONA,Cape Monaco,-64.717138,-64.278164,Central-west Antarctic Peninsula,,166
MONR,Monroe Island,-60.599700,-46.056800,South Orkney Islands,,166
MONT,Montague Island,-58.507944,-26.285146,,,166
MONU,Monument Rocks,-64.017000,-60.943300,Central-west Antarctic Peninsula,,166
MOOT,Moot Point,-65.200000,-64.100000,Central-west Antarctic Peninsula,Also known as Redondo Point,166
MOPT,Monroe Point,-62.811200,-61.516200,South Shetland Islands,,166
MORB,Morsa Bay,-54.048159,-37.737100,,,166
MORE,Moreton Point,-60.612200,-46.030800,South Orkney Islands,,166
MOSS,West coast of Mossman Peninsula,-60.772000,-44.753000,South Orkney Islands,,166
MOYE,Moyes,-60.732000,-45.660000,South Orkney Islands,,166
MPNC,Moreton Point North Coast,-60.610000,-46.024000,South Orkney Islands,,166
MPTE,Macaroni Point (east),-62.897900,-60.533200,South Shetland Islands,,166
MPTW,Macaroni Point (west),-62.897900,-60.533200,South Shetland Islands,,166
MRII,Mount Riiser-Larsen,-66.790800,50.551100,Enderby Land,,166
MUCK,Muckle Bluff,-61.157000,-54.860000,Elephant Island,,166
MURR,Murray Islands,-60.769071,-44.526141,South Orkney Islands,"Not to be confused with ""Murray Island"" aka ""Bluff Island"" (WAM 10-11).",166
MYAL,Myall/McMahon,-67.672100,45.735600,Enderby Land,,166
NAMP,Nameless Point,-53.983333,-37.683000,,,166
NANC,Nancy Rock,-62.230000,-59.099000,South Shetland Islands,,166
NARE,Narval Bay East,-54.040548,-37.664858,,,166
NARW,Narval Bay West,-54.041199,-37.707417,,,166
NCAP,North Cape (d'Urville Island),-63.000000,-56.500000,Northeast Antarctic Peninsula,,166
NCOI,North of Cornwall Island,-62.330000,-59.702000,South Shetland Islands,,166
NDPT,North of Duthoit Point,-62.283000,-58.850000,,,166
NEIS,Nelly Island,-66.229400,110.178200,Wilkes Land,,166
NEKO,Neko Harbor (Andvord Bay),-64.838300,-62.532700,Central-west Antarctic Peninsula,,166
NELL,Nella/Thalla Islands,-70.613600,166.087300,Victoria Land,,166
NEPT,Nelly Point,-61.157000,-54.775000,Elephant Island,,166
NESM,Northeast of Smiggers Island,-65.451571,-65.346483,Southwest Antarctic Peninsula,,166
NEWE,Newell Point,-62.337400,-59.520000,South Shetland Islands,,166
NFOR,North Foreland,-61.892800,-57.688000,South Shetland Islands,,166
NHAM,North of Hammer Point,-62.330000,-59.624000,South Shetland Islands,,166
NHEI,North of Heywood Island,-62.308000,-59.664000,South Shetland Islands,,166
NIGG,Nigg Rock,-60.707000,-44.864000,South Orkney Islands,,166
NILS,Nilse Hullet,-54.174311,-37.586834,,,166
NINE,New Island North End,-51.692003,-61.256007,,,166
NISE,New Island South End,-51.744425,-61.295037,,,166
NMED,North of Medley Rocks,-62.996900,-55.977100,Northeast Antarctic Peninsula,,166
NOBL,Noble Rocks,-64.784900,-63.433500,Central-west Antarctic Peninsula,Previously called NEUM = Neumeyer Channel,166
NOKK,Nokkelholmane Islands,-69.381100,39.463500,Queen Maud Land,,166
NOPT,North Point,-60.672000,-45.626000,South Orkney Islands,,166
NORF,Northern Foothills,-74.750000,164.000000,Victoria Land,,166
NORW,Norway Bight,-60.616000,-45.816000,South Orkney Islands,,166
NOVI,Noville Peninsula,-71.770000,-98.450000,Ellsworth Land,,166
NPRO,Promontories on north-central coast,-63.250000,-62.068000,South Shetland Islands,,166
NUTT,Cape Nutt,-66.635200,108.212700,Wilkes Land,,166
NVEG,North Vega Island,-63.805300,-57.226000,Northeast Antarctic Peninsula,,166
NWPO,Northwest coast of Pomona Plateau,-60.544000,-45.960000,South Orkney Islands,,166
OBEL,Point Obelisk (James Ross Inland),-64.133333,-58.450000,,,166
OBRI,O'Brien Island,-61.506900,-55.967300,Elephant Island,,166
ODBE,Odbert Island,-66.374200,110.542100,Wilkes Land,,166
OLAV,Prince Olav Harbour,-54.066667,-37.150000,,,166
OLDH,Oldham Island,-67.520800,61.725300,Mac. Robertson Land,,166
OLIC,Oliphant Channel,-60.729000,-45.592000,South Orkney Islands,Also known as Fur Seal Cove,166
OLII,Oliphant Island,-60.736000,-45.594000,South Orkney Islands,,166
OLIV,Olivine Point (Coronation Island),-60.666667,-45.483333,,,166
OLSE,Olsen Valley,-54.193630,-36.673720,,,166
OMEG,Omega Island,-64.333000,-62.933000,,,166
OMGA,Cape Omega,-68.566700,40.983300,Queen Maud Land,,166
ONEI,O'Neill Point,-64.816220,-63.090132,Central-west Antarctic Peninsula,,166
ONGL,Ongley Island,-62.430007,-59.887406,,,166
ONGU,Ongulkaven,-69.017100,39.425200,Queen Maud Land,,166
ORCW,Offshore Rocks off Cape Wallace,-63.227000,-62.227000,South Shetland Islands,,166
ORNE,Orne Islands,-64.659000,-62.663100,Central-west Antarctic Peninsula,,166
ORRO,Ornen Rocks,-62.009000,-57.566000,South Shetland Islands,,166
OUTE,Outer Island,-60.706900,-45.580600,South Orkney Islands,,166
OVIE,Oviedo Cove,-64.216667,-56.583333,,,166
OWEN,Owen Island,-61.933200,-58.388600,South Shetland Islands,,166
PABE,Paradise Harbor Beacon (Paradise Bay),-64.911100,-62.931100,Central-west Antarctic Peninsula,,166
PAGE,Pageant Point,-60.728600,-45.584300,South Orkney Islands,,166
PALA,Palaver Point,-64.148600,-61.759000,Central-west Antarctic Peninsula,,166
PAND,Pandemonium Point,-60.739000,-45.647000,South Orkney Islands,,166
PANT,Pantomime Point,-60.726600,-45.583300,South Orkney Islands,,166
PAPT,Patelnia Point,-62.235000,-58.498000,South Shetland Islands,,166
PARA,Paradise Beach,-54.825612,-36.178146,,,166
