name,Full_Name,Latitude,Longitude,Region,Description,Icon
PATE,Patella Island,-63.129400,-55.523800,Northeast Antarctic Peninsula,,166
PAUL,Paulet Island,-63.580100,-55.788100,Northeast Antarctic Peninsula,,166
PCHA,Port Charcot,-65.067000,-64.026000,Central-west Antarctic Peninsula,"The W peninsula of Booth Island (site prev. known as BOOT), just E and a bit S of the bay called Port Charcot. Landing can be made from either N or S side.",166
PEGG,Peggotty Bluff,-54.145116,-37.276970,,,166
PEIN,Peine Island (Comb Island),-63.411000,-54.717000,Northeast Antarctic Peninsula,,166
PEND,Pendulum Cove (Deception Is),-62.935432,-60.599755,,,166
PENG,Penguin Island,-62.102000,-57.926900,South Shetland Islands,,166
PEPO,Penguin Point (Seymour Is),-64.306100,-56.711400,Northeast Antarctic Peninsula,,166
PERR,Perrier Bay,-64.395410,-63.721302,,,166
PERS,Persson Island,-64.200000,-58.400000,,,166
PETE,Petermann Island,-65.172100,-64.142000,Central-west Antarctic Peninsula,,166
PGEO,Point Geologie,-66.670000,140.010000,Adelie Land,,166
PHIL,Cape Phillips,-73.071400,169.616800,Victoria Land,,166
PIC4,Pickersgill Islands (Island 4),-54.250000,-36.750000,,,166
PICK,Pickersgill Islands (Eastern),-54.617000,-36.730000,,,166
PIGE,Cape Pigeon Rocks,-66.933400,143.894000,Victoria Land,,166
PIIS,Peter I Island,-68.835000,-90.491700,Ellsworth Land,,166
PILL,Pillar Ridge,-61.271000,-54.222000,Elephant Island,,166
PING,Pinguino Island,-64.143500,-60.985700,Central-west Antarctic Peninsula,Synonymous with PRIM=Primavera Island,166
PIRI,Pirie Peninsula,-60.698800,-44.684000,South Orkney Islands,"According to WAM, birds all over the coast of the peninsula. If this site gets visited, it may have to be split.",166
PISL,Peterson Island,-66.466500,110.499300,Wilkes Land,,166
PKUP,Pickup Point,-61.116000,-54.645000,Elephant Island,,166
PLAT,Plato Island (Platter Island),-63.433000,-54.674200,Northeast Antarctic Peninsula,,166
PLDR,Penguin Ladder,-61.143000,-54.720000,Elephant Island,,166
PLEN,Pleneau Island,-65.104000,-64.055600,Central-west Antarctic Peninsula,,166
PMAR,Port Martin,-66.811300,141.399700,Wilkes Land,Not to be confused with Point Martin,166
POMO,Pomona Plateau Northwest coast,-60.544000,-45.960000,South Orkney Islands,,166
POPO,Pottinger Point,-61.932500,-58.358200,South Shetland Islands,,166
POPT,Portal Point,-64.502844,-61.758957,,,166
PORD,Pordim Islands,-62.311000,-59.659000,,,166
PORP,Porphyry Bluff,-64.450000,-59.183333,,,166
PORT,Porteous Point,-60.724000,-45.675000,South Orkney Islands,,166
POSB,Possession Bay,-54.086981,-37.156697,,,166
POSS,Possession Island,-71.894600,171.169200,Victoria Land,,166
POTT,Potter Peninsula,-62.245600,-58.657700,South Shetland Islands,,166
POUR,Pourquoi-pas Island,-67.683000,-67.500000,,,166
POWE,Powell Island,-60.725000,-45.029000,South Orkney Islands,,166
PPPT,Pink Pool Point,-61.309000,-54.079000,Elephant Island,,166
PRAE,Point Rae,-60.757000,-44.634000,South Orkney Islands,,166
PRES,President Head (Snow Island),-62.725500,-61.200100,South Shetland Islands,,166
PRIE,Priest Island,-64.866667,-63.516667,,Also known as Goetschy Island; in the Peltier Channel,166
PRIN,Principal Point,-64.912100,-63.431000,Central-west Antarctic Peninsula,Also called Pursuit Point (old code: PURS),166
PROC,Proclamation Island,-65.842400,53.687600,Enderby Land,,166
PSON,Peterson Bank,-65.920000,110.230000,Wilkes Land,,166
PTHO,Point Thomas,-62.163100,-58.461500,South Shetland Islands,,166
PTWD,Point Wordie,-61.245000,-55.328000,Elephant Island,,166
PURD,Purdy Point,-60.533300,-45.433300,South Orkney Islands,,166
PYPT,Py Point,-64.879200,-63.597400,Central-west Antarctic Peninsula,,166
PYRA,Pyramid Stacks,-61.246000,-55.339000,,,166
PYRI,Pyrites Island,-61.924100,-57.949100,South Shetland Islands,,166
QPTN,Quinton Point (north),-64.317000,-63.667000,Central-west Antarctic Peninsula,,166
QPTS,Quinton Point (south),-64.345000,-63.678000,Central-west Antarctic Peninsula,,166
RAGN,Ragnhild,-69.900000,27.150000,Queen Maud Land,,166
RANK,Rankin Inlet,-54.803780,-36.224160,,,166
RASM,Rasmussen Island,-65.248008,-64.084452,,,166
RAUE,Rauer Islands,-68.833100,77.676500,NA,,166
RAYN,Rayner Point,-60.650000,-45.166700,South Orkney Islands,,166
RBSN,Robinson,-67.454300,63.459600,Mac. Robertson Land,,166
REDI,Red Island,-63.735600,-57.880000,Northeast Antarctic Peninsula,,166
RENI,Renier Point,-62.610000,-59.806200,South Shetland Islands,,166
RETO,Retour Island,-66.767000,141.566900,Wilkes Land,,166
RETU,Return Point,-60.626600,-46.032800,South Orkney Islands,,166
RHYO,Rhyolite Island,-69.648800,-68.570900,Palmer Land,,166
RIBB,Right Whale Bay Binder Beach,-54.012388,-37.692856,,,166
RIBP,Right Whale Bay Bluff Point,-54.015680,-37.668100,,,166
RIDL,Ridley Island,-61.850000,-58.016000,South Shetland Islands,,166
RIIS,Riiser,-72.120000,-15.110000,Queen Maud Land,,166
RIMI,Right Whale Bay Middle,-54.015831,-37.681445,,,166
RIPP,Rip Point,-62.235000,-59.001000,South Shetland Islands,,166
RNVG,Near Ranvik Glacier,-69.154027,77.262724,Queen Maud Land,,166
ROBB,Robbery Beaches,-62.616000,-61.083000,South Shetland Islands,,166
ROBE,Robert Point,-62.450000,-59.383000,South Shetland Islands,SE point of Robert Island.,166
ROCA,Cape Roca,-60.750000,-44.816700,South Orkney Islands,,166
ROCH,Rothschild Island,-69.518000,-72.265000,,,166
ROCK,Rocky Bay,-54.471002,-36.729367,,,166
ROGE,Cape Roget,-71.990000,170.590000,Victoria Land,,166
ROKP,Rookery Point,-54.267000,-36.309000,,,166
ROME,Romeo Island,-62.376300,-59.926800,South Shetland Islands,,166
RONE,Ronge Island East,-64.688400,-62.643600,Central-west Antarctic Peninsula,,166
RONW,Robinson (northwest),-67.448900,63.413000,Mac. Robertson Land,,166
ROOK,Rookery Islands,-67.604400,62.509900,Mac. Robertson Land,,166
ROQU,Cape Roquemaurel,-63.548600,-58.965200,Northwest Antarctic Peninsula,,166
ROSE,Robinson (southeast),-67.474900,63.495600,Mac. Robertson Land,,166
ROTH,Rothera Point,-67.569343,-68.126971,,,166
ROUN,Round Point (King George Island),-61.937100,-58.423400,South Shetland Islands,,166
ROYA,Royal Bay South,-54.576481,-36.012830,,,166
ROYD,Cape Royds,-77.554500,166.163900,Victoria Land,,166
RRRI,Red Rock Ridge,-68.287800,-67.168600,Southwest Antarctic Peninsula,,166
RUDM,Rudmose Rocks,-60.676000,-44.602000,South Orkney Islands,,166
RUGG,Rugged Rocks,-62.601200,-59.815500,South Shetland Islands,"Two main islands, both with birds.",166
RUGG_A,Rugged Rocks - Island A,-62.600600,-59.816100,,,166
RUGG_B,Rugged Rocks - Island B,-62.602700,-59.815400,,,166
RUMP,Rumpa Island,-69.144100,39.390500,Queen Maud Land,,166
RUPE,Rupert Coast,-75.380000,-143.300000,Marie Byrd Land,,166
RZEP,Rzepeki Islands,-62.099000,-58.824000,South Shetland Islands,,166
SABA,St. Andrews Bay- Middle,-54.447360,-36.181065,,,166
SABR,Sabrina Island,-66.917100,163.311700,Victoria Land,,166
SADD,Saddle Island,-60.633300,-44.833300,South Orkney Islands,,166
SALI,Salisbury Plain,-54.054429,-37.340241,,,166
SANA,Sanae,-70.000000,-1.420000,Queen Maud Land,,166
SAND,Sandefjord Bay,-60.605000,-46.036700,South Orkney Islands,,166
SANE,San Eliado Point,-64.844000,-63.116600,Central-west Antarctic Peninsula,,166
SAPT,Saddleback Point,-61.099000,-54.901000,Elephant Island,,166
SART,Sartorius Point,-62.559600,-59.656700,South Shetland Islands,,166
SAUN,Saunders Island,-57.750000,-26.450000,,,166
SAXU,Saxum Nunatak,-63.136700,-56.053300,Northeast Antarctic Peninsula,,166
SCHL,Schlieper Bay,-54.034913,-37.825697,,,166
SCUL,Scullin/Murray,-67.783300,66.696800,Mac. Robertson Land,,166
SEAL,Seal Island,-60.975000,-55.393000,Elephant Island,,166
SEFB,SE Fisher Bay,-67.594900,146.080900,Victoria Land,,166
SEGI,Small island southeast on Gerlache Island,-64.603700,-64.203800,Central-west Antarctic Peninsula,,166
SELI,Sea Lion Island,-52.423491,-59.078167,,,166
SELV,Selvick Cove,-64.640500,-62.569100,Central-west Antarctic Peninsula,"Birds along the shoreline just north of Selvick Cove, also known as Lagarrigue Cove",166
SEND,South end,-60.717000,-45.033000,,,166
SENT,Sentry Rocks,-70.754300,167.404600,Victoria Land,,166
SEPR,SE Promontory,-66.650000,163.050000,Victoria Land,,166
SERA,Serac Point,-61.177000,-54.026000,Elephant Island,,166
SEWE,Islet southeast of Weller Island,-65.451700,-65.346500,Southwest Antarctic Peninsula,,166
SHAC,Shackleton Ice Shelf,-64.860000,96.020000,Queen Mary Land,,166
SHAG,Shagnasty Island,-60.732000,-45.618000,South Orkney Islands,,166
SHEA,Sheathbill Bay,-53.983333,-37.433333,,,166
SHEE,Sheelagh Islands,-66.546400,50.180400,Enderby Land,,166
SHEI,Shepard Island,-74.377300,-132.551900,Marie Byrd Land,,166
SHEN,Sheppard Nunatak,-63.362900,-57.015400,Northeast Antarctic Peninsula,,166
SHEP,Sheppard Point,-63.370700,-56.984400,Northeast Antarctic Peninsula,,166
SHER,Sherrell Point,-63.300000,-58.683333,,,166
SHIL,Shilling Shelf,-61.097000,-54.735000,Elephant Island,,166
SHIN,Shingle Cove (Coronation Island),-60.646900,-45.563600,South Orkney Islands,,166
SHIR,Cape Shirreff,-62.457500,-60.787400,South Shetland Islands,,166
SHIS,Shag Island,-62.185000,-58.297000,South Shetland Islands,,166
SHLY,Shirley/Beall,-66.283000,110.500000,Wilkes Land,,166
SHUM,Shumskiy Cove,-67.072778,-67.352500,,,166
SIFF,Siffrey Point,-63.219858,-57.224702,,,166
SIMS,Sims Island,-73.272500,-78.540700,Palmer Land,,166
SITK,Sitka Bay,-53.983333,-37.400000,,,166
SJHO,Steeple Jason House Colony,-51.022177,-61.227292,,,166
SJNE,Steeple Jason Neck,-51.035531,-61.213889,,,166
SKIL,Skilling Island (north coast),-60.783300,-45.150000,South Orkney Islands,,166
SKOT,Skottsberg Point,-63.920500,-60.808900,Central-west Antarctic Peninsula,,166
SLPP,Islet South of Le Petit Prince,-61.911000,-58.021000,,,166
SMAL,Small Island,-64.012100,-61.454900,Central-west Antarctic Peninsula,,166
SMAT,Unnamed Islands (South of Matthews Island),-60.742000,-45.154000,South Orkney Islands,,166
SMIG,Smiggers Island,-65.459700,-65.351400,Southwest Antarctic Peninsula,,166
SMIT,Cape Smith,-62.873800,-62.300000,South Shetland Islands,,166
SMTH,Smith,-74.370000,-60.830000,Palmer Land,,166
SMYL,Smyley,-72.300000,-78.830000,Palmer Land,,166
SNOW,Snow Hill Island,-64.520000,-57.440000,Northeast Antarctic Peninsula,,166
SOMI,South of Martin Islands,-65.688100,-65.338100,Southwest Antarctic Peninsula,,166
SORN,Sorn & Bernt,-54.002246,-37.907177,,,166
SOTH,South of Tay Head,-63.335900,-55.641300,Northeast Antarctic Peninsula,,166
SPBL,South Point Bluff,-63.015800,-60.634700,South Shetland Islands,,166
SPEN,Spencer Bluff,-62.502000,-59.556000,,,166
SPER,Spert Island,-63.861400,-60.977800,Central-west Antarctic Peninsula,May not currently have breeding penguins.,166
SPIG,Spigot Peak,-64.635000,-62.554000,Central-west Antarctic Peninsula,,166
SPIN,Spine Island (Coronation Island),-60.594000,-46.020200,South Orkney Islands,,166
SPIP,Spigot Peak Point,-64.625000,-62.558000,Central-west Antarctic Peninsula,,166
SPLI,Split Beach,-61.156000,-54.937000,Elephant Island,,166
SPNW,South Point Bluff (northwest),-63.013800,-60.670200,South Shetland Islands,,166
SPRI,Sprightly Islands Vicinity,-64.300000,-61.050000,Central-west Antarctic Peninsula,,166
SPRO,Spindrift Rocks,-60.683000,-45.644000,South Orkney Islands,,166
SPTR,Spigot Peak Tripod,-64.636800,-62.562900,Central-west Antarctic Peninsula,,166
SPUI,Spence Harbour and unnamed island,-60.670700,-45.187400,South Orkney Islands,,166
SSVN,South Svenner,-69.134100,76.744200,NA,,166
STAC,Stackpole Rocks,-62.678000,-60.957400,South Shetland Islands,,166
STAN,Stanton Continental Rock,-67.534200,61.717500,Mac. Robertson Land,,166
STCB,Stancomb,-74.120000,-23.090000,Coats Land,,166
STEE,Steepholm Islands,-60.783333,-45.150000,South Orkney Islands,,166
STEI,Steines Island,-69.341200,76.582500,NA,,166
STEN,Stene Point,-60.654000,-45.707000,South Orkney Islands,,166
STER,Sterneck Island,-64.201000,-60.982600,Central-west Antarctic Peninsula,,166
STIG,Stigant Point,-62.023000,-58.718500,South Shetland Islands,,166
STIN,Stinker Point,-61.221426,-55.379594,,,166
STOK,Stoker Island,-62.400000,-59.850000,South Shetland Islands,,166
STON,Stonington Island,-68.186076,-66.997005,,,166
STRA,Stranger Point,-62.260000,-58.616100,South Shetland Islands,,166
STRO,Stromness,-54.153430,-36.729235,,,166
STUN,Stanton unnamed,-67.507800,61.597800,Mac. Robertson Land,,166
STUR,Sturge Island,-67.467000,164.633000,Victoria Land,,166
SVEN,Sven Foyn Island,-71.956000,171.069500,Victoria Land,,166
SVIS,Svenner Islands,-69.034100,76.834600,NA,,166
SWIS,Southwest Island (Aviation Islands),-69.266600,158.783300,Victoria Land,,166
TAIL,Tail Island,-63.666667,-57.616667,,,166
TART,Tartar Point,-61.929000,-58.429000,South Shetland Islands,,166
TAYG,Taylor Glacier,-67.450000,60.880000,Mac. Robertson Land,,166
TAYH,Tay Head (Joinville Island),-63.348600,-55.550800,Northeast Antarctic Peninsula,,166
TAYL,Taylor Point,-61.933000,-57.642000,South Shetland Islands,,166
TELE,Telefon Bay (Deception Is),-62.924093,-60.663079,,,166
TENM,Tenmondai Rock,-68.444500,41.701000,Queen Maud Land,,166
TETR,Tetrad Islands,-63.917100,-60.735300,Central-west Antarctic Peninsula,"Breeding birds on the northern-most three of the Tetrads: the largest and the the next two, mostly on rocky ridges. Best approached on the east side.",166
TETR_1,Tetrad Islands - 1,-63.915500,-60.733100,,,166
TETR_2,Tetrad Islands - 2,-63.918100,-60.733800,,,166
TETR_3,Tetrad Islands - 3,-63.921600,-60.734500,,,166
THEO,Theodolite Point,-60.752000,-44.737000,,,166
THOR,Thorgaut,-67.442500,63.543300,Mac. Robertson Land,,166
THUL,Thule Island,-59.467000,-27.250000,,,166
THUN,Thunder Bay,-61.312000,-54.117000,Elephant Island,,166
THUR,"Thurston Glacier, Mount Siple",-73.500000,-125.621000,Marie Byrd Land,,166
TICK,Tickell Head,-60.528000,-45.717000,South Orkney Islands,,166
TIEA,Trinity I (east),-63.883000,-60.683000,Central-west Antarctic Peninsula,,166
TINW,Trinity I (northwest),-63.711000,-60.749000,Central-west Antarctic Peninsula,,166
TISW,Trinity I (southwest),-63.900000,-60.879000,Central-west Antarctic Peninsula,,166
TIWE,Trinity I (west),-63.833000,-60.829000,Central-west Antarctic Peninsula,,166
TNBA,Terra Nova Bay,-74.767845,164.013639,Victoria Land,,166
TORG,Torgersen Island,-64.773100,-64.074100,Central-west Antarctic Peninsula,,166
TORI,Torinosu Cove,-69.483300,39.566700,Queen Maud Land,,166
TOWE,Tower Island (east),-63.597000,-59.771000,Northwest Antarctic Peninsula,,166
TOWW,Tower Island (west),-63.561000,-59.854000,Northwest Antarctic Peninsula,,166
TPTN,Two Points North (of Hooker),-63.341000,-62.251000,South Shetland Islands,,166
TREN,Trendall Crag,-54.809705,-35.949121,,,166
TRIA,Triangle Point,-62.522000,-59.839000,South Shetland Islands,,166
TROL,Trollhull,-54.828310,-36.157020,,,166
TROW,Trowbridge Islands,-61.996000,-57.630400,South Shetland Islands,,166
TRUA,Truant Island,-64.923000,-63.407000,Central-west Antarctic Peninsula,Also known as Vázquez Island,166
TRUN,Trundle Island,-65.393800,-65.288500,Southwest Antarctic Peninsula,,166
TSIS,Three Sisters,-62.073800,-57.914000,South Shetland Islands,,166
TTOE,The Toe,-62.327700,-59.166900,South Shetland Islands,,166
TTUR,The Turret,-60.666700,-45.150000,South Orkney Islands,,166
TUPI,Tupinier Island,-63.370200,-58.266900,Northwest Antarctic Peninsula,,166
TURR,Turret Point (King George Island),-62.087500,-57.951400,South Shetland Islands,,166
TUXE,Cape Tuxon,-65.266700,-64.117800,Central-west Antarctic Peninsula,,166
TWGI,Three islands west of Gerlache Island,-64.592100,-64.247100,Central-west Antarctic Peninsula,,166
TWIN,Twintits Stack,-61.180000,-55.402000,Elephant Island,,166
TXRX,Tuxon Rocks,-65.254900,-64.133400,Central-west Antarctic Peninsula,,166
TYRN,Tyrne/Long Peninsula,-68.380900,78.412500,NA,,166
UCHA,Uchatka Point,-62.217000,-58.435000,South Shetland Islands,,166
UFSI,Ufs Island,-67.469400,61.140600,Mac. Robertson Land,,166
UICW,Unnamed Island off Cape Wallace,-63.232200,-62.178300,South Shetland Islands,,166
UIEL,Unnamed island off Elephant,-62.600000,-60.502000,South Shetland Islands,,166
UIP1,Unnnamed Island PE 1,-68.767000,77.750600,NA,,166
UIP2,Unnnamed Island PE 2,-68.901200,77.736000,NA,,166
UIP3,Unnnamed Island PE 3,-68.441900,78.211000,NA,,166
UIPN,Unnamed Island PE 2 North,-68.901300,77.716200,NA,,166
UMBE,Umbeashi,-68.050000,43.010000,Queen Maud Land,,166
UNDI,Undine Harbour (incl. subsidiary colony),-54.250000,-36.750000,,,166
UNGE,Unger Island (Unger Rock),-70.681100,166.919000,Victoria Land,,166
UNN2,Unnamed 2,-67.440200,63.543500,Mac. Robertson Land,,166
UNN7,Unnamed 7,-67.447500,63.333600,Mac. Robertson Land,,166
URUG,Uruguay Island,-65.238040,-64.222733,,,166
USEF,Useful Island,-64.717000,-62.871000,Central-west Antarctic Peninsula,,166
VAHS,Vahsel Bay,-54.760000,-35.841000,,,166
VAIS,Valette Island,-60.758000,-44.622000,South Orkney Islands,,166
VALE,Cape Valentine,-61.102000,-54.651000,Elephant Island,,166
VAPO,Vapour Col (Deception Island),-62.976700,-60.728300,South Shetland Islands,,166
VAZQ,Vazquez Island,-64.916667,-63.416667,,,166
VERN,Vernadsky Station,-65.245300,-64.256700,Central-west Antarctic Peninsula,,166
VESN,Vestfold North,-68.484200,78.095400,NA,,166
VESS,Vestfold South,-68.588300,77.922700,NA,,166
VIET,Vietor Rock,-62.683100,-61.098100,South Shetland Islands,,166
VIEU,Vieugue Island,-65.668200,-65.214400,Southwest Antarctic Peninsula,,166
VIEW,View Point,-63.542242,-57.372169,,,166
VORT,Vortex Island,-63.725700,-57.641500,Northeast Antarctic Peninsula,,166
VRNW,Vietor Rock (northwest),-62.674600,-61.102100,South Shetland Islands,Point on Livingston northwest of Vietor Rock,166
WABL,Cape Wallace Bluff (South),-63.281600,-62.266400,South Shetland Islands,,166
WAIT,Cape Waites,-72.713000,-103.451000,Marie Byrd Land,,166
WALE,Wales Head,-54.025519,-37.591122,,,166
WALK,Walker Point,-61.143000,-54.697000,Elephant Island,,166
WALL,Cape Wallace,-63.233000,-62.209000,South Shetland Islands,,166
WASH,Cape Washington,-74.640000,165.370000,Victoria Land,,166
WATE,Waterboat Point,-64.823600,-62.858100,Central-west Antarctic Peninsula,,166
WATT,Watt Bay,-66.994900,144.285400,Victoria Land,,166
WAYA,Way Archipelago,-66.857100,143.589500,Victoria Land,,166
WEBB,Webb Island,-67.447778,-67.925833,,,166
WEDD,Weddell Island,-60.635900,-44.847900,South Orkney Islands,,166
WELC,Welcome Point,-61.134000,-55.429000,Elephant Island,,166
WELL,Weller Island,-65.445300,-65.381700,Southwest Antarctic Peninsula,,166
WESP,West Point Island,-51.349014,-60.711281,,,166
WFOR,West Foreland,-62.150000,-58.917000,,,166
WHAL,Whalers Bay,-62.983232,-60.561715,,,166
WHEA,Cape Wheatstone,-72.621700,170.202400,Victoria Land,,166
WHIS,"Whistle Cove, Fortuna Bay",-54.146934,-36.820877,,,166
WHIT,Cape Whitson,-60.753100,-44.546900,South Orkney Islands,,166
WHTY,Blakeney/Whitney,-66.245700,110.557300,Wilkes Land,,166
WIDE,Wideopen Islands,-63.004200,-55.849200,Northeast Antarctic Peninsula,,166
WILD,Point Wild,-61.098000,-54.861000,Elephant Island,,166
WINK,Winkle Island (two islets next to Winkle Island),-65.520000,-65.686000,Southwest Antarctic Peninsula,This site includes chinstrap colony immediately south of Pickwick and the shag colonies between Pickwick and Winkle Island.,166
WINW,Window Island,-62.565400,-61.123700,South Shetland Islands,,166
WIRI,Wirik Bay,-54.752409,-35.861930,,,166
WISH,West Ice Shelf,-66.320000,81.530000,,,166
WITH,Withem Island,-62.235200,-59.138100,South Shetland Islands,,166
WLLW,The Wallows,-60.691900,-45.604800,South Orkney Islands,,166
WOOD,Wood Bay,-74.329900,165.133200,Victoria Land,,166
WOOI,Wood Island,-62.484100,-60.304200,South Shetland Islands,,166
WOPT,Worley Point,-74.405700,-132.777000,Marie Byrd Land,,166
WORL,Worlds End,-61.856000,-57.996000,South Shetland Islands,,166
WPEC,Watson Peninsula (east coast),-60.676100,-44.543600,South Orkney Islands,,166
WPWC,Watson Peninsula (west coast),-60.675000,-44.551000,South Orkney Islands,,166
WSAD,West of Saddleback Point (Penguin Island),-61.106000,-54.963000,Elephant Island,,166
WYAT,Wyatt Earp Islands,-68.356900,78.538500,NA,,166
YALO,Yalour Islands,-65.238900,-64.156400,Central-west Antarctic Peninsula,,166
YALO-1,Yalour Islands 1,-65.234722,-64.159722,Central-west Antarctic Peninsula,,166
YALO-10,Yalour Islands 10,-65.244900,-64.152500,Central-west Antarctic Peninsula,,166
YALO-11,Yalour Islands 11,-65.245278,-64.140833,Central-west Antarctic Peninsula,,166
YALO-2,Yalour Islands 2,-65.236944,-64.157500,Central-west Antarctic Peninsula,,166
YALO-3,Yalour Islands 3,-65.237500,-64.156389,Central-west Antarctic Peninsula,,166
YALO-4,Yalour Islands 4,-65.237222,-64.158889,Central-west Antarctic Peninsula,,166
YALO-5,Yalour Islands 5,-65.239167,-64.159722,Central-west Antarctic Peninsula,,166
YALO-6,Yalour Islands 6,-65.238889,-64.158889,Central-west Antarctic Peninsula,,166
YALO-7,Yalour Islands 7,-65.238611,-64.157500,Central-west Antarctic Peninsula,,166
YALO-8,Yalour Islands 8,-65.242500,-64.156667,Central-west Antarctic Peninsula,,166
YALO-9,Yalour Islands 9,-65.244444,-64.155000,Central-west Antarctic Peninsula,,166
YANK,Yankee Harbor,-62.525700,-59.768700,South Shetland Islands,,166
YOUN,Young Island,-66.416700,162.400000,Victoria Land,,166
YTRE,Ytrehovdeholmen,-69.216700,39.433300,Queen Maud Land,,166
ZAWA,Zawadski Stacks,-62.079000,-58.784000,South Shetland Islands,,166
ZEDI,Zed Island,-62.433000,-60.166000,South Shetland Islands,,166
ZIGZ,Zig Zag Island,-63.612300,-59.841900,Northwest Antarctic Peninsula,,166
